url,type_boit,type_carburant,kilometrage,marke,model,puissance,price,has_abs,has_airbags,has_bluetooth_audio,has_rear_camera,has_ac,has_esp,has_alloy_wheels,has_speed_limiter,has_trip_computer,has_parking_sensor,has_cruise_control,has_leather_seats,has_gps,has_sunroof,has_remote_locking,has_power_windows
https://www.avito.ma/fr/ben_m'sick/voitures_d'occasion/Renault_Clio_Diesel_Manuelle_2018_à_Casablanca_54848380.htm,Manuelle,Diesel,110 000 - 119 999,Renault,Clio,6 CV,135 000 DH,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1
https://www.avito.ma/fr/karia_ba_mohamed/voitures_d'occasion/Peugeot_205_Diesel_Manuelle_1985_54848431.htm,Manuelle,Diesel,0 - 4 999,Peugeot,205,7 CV,33 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_borja/voitures_d'occasion/BMW_série_3_54848384.htm,Manuelle,Diesel,250 000 - 299 999,BMW,Série 3,8 CV,80 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_chock/voitures_d'occasion/بوجو_309_ايصانص_54848449.htm,Manuelle,Essence,20 000 - 24 999,Peugeot,309,6 CV,18 200 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ain_haroun/voitures_d'occasion/فاس_المغرب_فاس_54848418.htm,Manuelle,Essence,250 000 - 299 999,Fiat,Uno,7 CV,20 000 DH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d'occasion/Volkswagen_Tiguan_Diesel_Automatique_2013_54848419.htm,Automatique,Diesel,180 000 - 189 999,Volkswagen,Tiguan,8 CV,185 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/anfa/voitures_d'occasion/Peugeot_508_Diesel_Automatique_2019_à_Casablanca_54848409.htm,Automatique,Diesel,100 000 - 109 999,Peugeot,508,8 CV,198 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
https://www.avito.ma/fr/californie/voitures_d'occasion/Le_neuf_en_occasion__54848448.htm,Automatique,Diesel,40 000 - 44 999,Land Rover,Range Rover Evoque,8 CV,280 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/sefrou/voitures_d'occasion/Renault_19_Essence_54848356.htm,Manuelle,Essence,450 000 - 499 999,Renault,19,8 CV,28 000 DH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/aïn_borja/voitures_d'occasion/PEUGEOT_RCZ__54848347.htm,Manuelle,Essence,150 000 - 159 999,Peugeot,RCZ,6 CV,110 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
