url,type_boit,type_carburant,kilometrage,marke,model,puissance,price
https://www.avito.ma/fr/anfa/voitures_de_location/Location_de_voiture_clio_5__55827395.htm,,,,,,,
https://www.avito.ma/fr/route_ain_chkaf/voitures_d'occasion/Seat_ARONA_2023_diesel_55851918.htm,Manuelle,Diesel,60 000 - 64 999,Seat,Arona,6 CV,205 000 DH
https://www.avito.ma/fr/anfa/voitures_de_location/Clio_5_a_louer__55830147.htm,,,,,,,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Accent_automatique__55731628.htm,Automatique,Diesel,120 000 - 129 999,Hyundai,Accent,6 CV,148 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_Grand_i10_Essence_Manuelle_2020_à_Rabat_56037970.htm,Manuelle,Essence,25 000 - 29 999,Hyundai,i10,6 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Location_de_hyuandai_sonata_55829869.htm,,,,,,,
https://www.avito.ma/fr/el_houda/voitures_d'occasion/Audi_A3_S_line_Diesel_Automatique_2021_à_Agadir_56223769.htm,Automatique,Diesel,75 000 - 79 999,Audi,A3,8 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Location_de_voitures_55827037.htm,,,,,,,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Ford_fiesta_diesel_55576527.htm,Manuelle,Diesel,120 000 - 129 999,Ford,Fiesta,6 CV,100 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/KIFAL___PEUGEOT_3008_55722012.htm,Automatique,Diesel,40 000 - 44 999,Peugeot,3008,8 CV,298 000 DH
https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/BMW_318d_en_très_bon_état__55323406.htm,Automatique,Diesel,140 000 - 149 999,BMW,Série 3,8 CV,320 000 DH
https://www.avito.ma/fr/californie/voitures_d'occasion/Bmw_Série_530_Diesel_Automatique_2022_55103945.htm,Automatique,Diesel,45 000 - 49 999,BMW,Série 5,12 CV,
